행정동,시설명,도로명 주소,지번주소,규모(면적㎡),대피시설 수용인원(명)
연일읍,포항경북자동차학원,경북 포항시 남구 연일읍 연일로 143,경북 포항시 남구 연일읍 생지리 136-2,8819,2672.424242
연일읍,유강2공원,,연일읍 유강리 601-2,3009,911.8181818
연일읍,연일성당 주차장,경북 포항시 남구 연일읍 형산강남로326번길 22,경상북도 포항시 남구 연일읍 생지리 143,1435,434.8484848
연일읍,포항식자재마트 앞 공터,경북 포항시 남구 연일읍 연일로159번길 6,경상북도 포항시 남구 연일읍 생지리 327-1,990,300
장량동,장성풋살구장,,장성동 1504-4,3436,1041.212121
장량동,장량유소년축구장,경북 포항시 북구 법원로 136,장성동 1371-1,4000,1212.121212
장량동,장성근린공원,경북 포항시 북구 법원로63번길 42,장성동 1531-1,13872,4203.636364
장량동,두호7어린이 공원,경북 포항시 북구 삼흥로57번길 11-18,경상북도 포항시 북구 장성동 866-63,913,276.6666667
장량동,물빛공원,경북 포항시 북구 천마로 161,양덕동 655-1,23913,7246.363636
장량동,양덕스포츠타운축구장,,경북 포항시 북구 양덕동 501,70753,21440.30303
장량동,양덕체육공원,경북 포항시 북구 양덕로30번길 20,양덕동 1850,21200,6424.242424
청림동,청림문화복지회관,경북 포항시 남구 청림서길 77,청림동 517-1,2365,716.6666667
청림동,청림쌈지공원,청림남길 45-10,청림동 307,683,206.969697
청림동,청림2어린이공원,경북 포항시 남구 정몽주로847번길 20-22,청림동 1179-14,1500,454.5454545
청림동,포항농협농산물집하장,경북 포항시 남구 동해안로5838번길 4,일월동 190-44,836,253.3333333
우창동,학산2공원. 학산 3공원,경북 포항시 북구 창흥로12번길 3,,3379,1023.939394
우창동,포항시여성문화회관 앞 공터,새천년대로933번길 20,경상북도 포항시 북구 우현동 48,1534,464.8484848
우창동,영신중고등학교 운동장,경북 포항시 북구 소티재로 107,우현동 산63-10,9243,2800.909091
대이동,고용노동부 포항지청,경북 포항시 남구 새천년대로 430,대잠동 940,211,256
대이동,대잠1공원,대잠동길6번길 20,대잠동 160-53,825,250
대이동,포항제철고등학교 인조구장,,대잠동 780-197,8768,2656.969697
대이동,이동3공원,대이로127번길 12-10,이동 659,8143,2467.575758
죽도동,죽도어시장 공영주차장,경상북도 포항시 북구 해동로 193,경상북도 포항시 북구 죽도동 557-7,1447,438.4848485
죽도동,경북직업전문학교 제2교육관,경북 포항시 북구 죽도로20번길 28 포항농협,죽도동 81-1,1376,416.969697
죽도동,죽도동 유료 공영주차장,,경상북도 포항시 북구 죽도동 74-39,1665,504.5454545
제철동,포항 인덕산 자연 생태공원,,인덕동 산18,야산이라 대피가 어려움,
제철동,포항시 재활용선별장,,경북 포항시 남구 호동 65-5,4128,1250.909091
제철동,포항스틸야드,동해안로6213번길 20,괴동동 1-6,8758,2653.939394
제철동,한국폴리텍6대학포항캠퍼스운동장,경북 포항시 남구 호동로 162,괴동동 1146,7754,2349.69697
중앙동,포항시북구청 앞 공터,,경북 포항시 북구 동빈1가 90,6376,1932.121212
중앙동,CGV 북포항전용주차장,,덕산동 113-10,368,111.5151515
중앙동,신흥주차장,,신흥동 859,3184,964.8484848
