구,행정동명,유동인구수,수용인원수합,유동인구수 대비 수용인원비율
북구,신광면,1660.226,5765,347.2418815269728
남구,장기면,4053.387,13958,344.3539933393974
북구,환여동,5821.419,15780,271.06793034481797
북구,기북면,648.323,1338,206.37861066166093
북구,죽장면,2421.097,4068,168.02300775227096
남구,호미곶면,3357.581,5056,150.5846024265684
남구,구룡포읍,7378.871,10902,147.74617959847788
북구,양학동,3427.968,4515,131.71068107987008
북구,송라면,5901.258,6944,117.66982565412324
남구,해도동,12714.806,14243,112.01901153662904
남구,송도동,8823.097,9295,105.34849611196613
남구,대송면,5869.581,6155,104.86268099886516
남구,용흥동,14072.677,13333,94.74387851010863
남구,동해면,9360.774,8115,86.69154922445517
남구,효곡동,17587.516,13787,78.39083131466661
북구,기계면,5884.323,4191,71.22314665595346
남구,오천읍,34419.903,24398,70.88340719612138
북구,청하면,10661.613,7336,68.80759975061935
북구,두호동,11494.581,7546,65.64832593723948
북구,흥해읍,48547.871,31787,65.47557976332268
남구,상대동,19402.742,11698,60.290447607869034
남구,연일읍,27537.452,13611,49.42723095804216
북구,장량동,41794.774,19820,47.42219685169251
남구,청림동,9629.903,4438,46.0856147772205
북구,우창동,27700.71,11818,42.66316639537398
북구,중앙동,37537.677,12967,34.543959659517554
남구,대이동,28592.226,7788,27.23817306144684
북구,죽도동,30559.29,7698,25.190375823522075
남구,제철동,21918.613,5151,23.500574602964157
