구,행정동명,유동인구수
북구,흥해읍,48547.871
북구,장량동,41794.774
북구,중앙동,37537.677
남구,오천읍,34419.903
북구,죽도동,30559.29
남구,대이동,28592.226
북구,우창동,27700.71
남구,연일읍,27537.452
남구,제철동,21918.613
남구,상대동,19402.742
남구,효곡동,17587.516
남구,용흥동,14072.677
남구,해도동,12714.806
북구,두호동,11494.581
북구,청하면,10661.613
남구,청림동,9629.903
남구,동해면,9360.774
남구,송도동,8823.097
남구,구룡포읍,7378.871
북구,송라면,5901.258
북구,기계면,5884.323
남구,대송면,5869.581
북구,환여동,5821.419
남구,장기면,4053.387
북구,양학동,3427.968
남구,호미곶면,3357.581
북구,죽장면,2421.097
북구,신광면,1660.226
북구,기북면,648.323
