,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
2215,경상북도,포항시,대전2리 마을회관 주변,경상북도 포항시 북구 송라면 대전리 562-7,129.34315253649078,36.25894639862127,61
2216,경상북도,포항시,지경3리 마을회관 주변,경상북도 포항시 북구 송라면 지경리 461-0,129.3587145679215,36.26998340705652,61
2217,경상북도,포항시,(구)지경리검문소 주변,경상북도 포항시 북구 송라면 지경리 199-1,129.37435627567297,36.26326615892588,242
2225,경상북도,포항시,대전1리 마을회관 주변,경상북도 포항시 북구 송라면 대전리 293-0,129.35575366068082,36.25327668940572,61
2226,경상북도,포항시,화진3리 마을회관 주변,경상북도 포항시 북구 송라면 화진리 610-0,129.3714888534793,36.24461778398524,61
2227,경상북도,포항시,화진2리 마을회관 주변,경상북도 포항시 북구 송라면 화진리 63-1,129.38327918199442,36.24015715861639,61
2244,경상북도,포항시,보경사 주차장,경상북도 포항시 북구 송라면 중산리 544-32,129.3205348150398,36.24382107880664,3030
2245,경상북도,포항시,중산1리 마을회관 주변,경상북도 포항시 북구 송라면 중산리 494-0,129.32853564315465,36.23682702545658,61
2246,경상북도,포항시,송라초등학교 운동장,경상북도 포항시 북구 송라면 광천리 189-5,129.3557702659446,36.22892213878859,1515
2247,경상북도,포항시,광천1리 경로당 주변,경상북도 포항시 북구 송라면 광천리 727-4,129.3433261402552,36.232846630587865,61
2248,경상북도,포항시,조사리 마을회관 주변,경상북도 포항시 북구 송라면 조사리 60-5,129.38494593702023,36.2232728522457,61
2602,경상북도,포항시,상송2리 마을회관 주변,경상북도 포항시 북구 송라면 상송리 70-0,129.34135642598957,36.20855547696991,61
2603,경상북도,포항시,상송1리 마을회관 주변,경상북도 포항시 북구 송라면 상송리 367-0,129.33772069044076,36.20946572048602,61
2604,경상북도,포항시,하송2리 마을회관 주변,경상북도 포항시 북구 송라면 하송리 237-24,129.3518512144271,36.21331928989006,61
2605,경상북도,포항시,하송1리 마을회관 주변,경상북도 포항시 북구 송라면 하송리 452-0,129.34249108485943,36.20912955653459,61
2606,경상북도,포항시,중산2리 마을회관 주변,경상북도 포항시 북구 송라면 중산리 267-3,129.32940615536944,36.23958346682114,61
2621,경상북도,포항시,방석2리부둣가,경상북도 포항시 북구 송라면 방석리 36-6,129.38190456117496,36.233164958306695,61
2622,경상북도,포항시,방석보건진료소,경상북도 포항시 북구 송라면 방석리 270-4,129.36933779041502,36.23067961692959,61
2623,경상북도,포항시,화진1리 마을회관,경상북도 포항시 북구 송라면 화진리 8-0,129.38478420745915,36.237787669299,61
11215,경상북도,포항시북구,1박2일펜션 앞,경상북도 포항시 북구 송라면 방석리 104,129.381648,36.234638,280
11216,경상북도,포항시북구,조사리버스승강장 앞,경상북도 포항시 북구 송라면 조사리 71-12,129.38448,36.222391,293
11242,경상북도,포항시북구,화진교 옆 공터,경상북도 포항시 북구 송라면 지경리 621,129.370461,36.250098,50
11243,경상북도,포항시북구,화진휴게소 입구,경상북도 포항시 북구 송라면 지경리 342-6,129.371698,36.253542,140
11260,경상북도,포항시북구,화진1리 버스정류장 옆,경상북도 포항시 북구 송라면 화진리 261-1,129.382398,36.236579,210
11261,경상북도,포항시북구,화진2리 화진비치펜션 앞,경상북도 포항시 북구 송라면 화진리 180-1,129.381916,36.239312,208
